Sigla;Código;Estado;horas_cuidados_2022
RO;11;Rondônia;17,0
AC;12;Acre;13,6
AM;13;Amazonas;16,8
RR;14;Roraima;13,6
PA;15;Pará;16,5
AP;16;Amapá;13,6
TO;17;Tocantins;15,8
MA;21;Maranhão;16,7
PI;22;Piauí;18,0
CE;23;Ceará;19,5
RN;24;Rio Grande do Norte;18,3
PB;25;Paraíba;18,9
PE;26;Pernambuco;19,3
AL;27;Alagoas;20,2
SE;28;Sergipe;18,8
BA;29;Bahia;17,8
MG;31;Minas Gerais;17,5
ES;32;Espírito Santo;17,1
RJ;33;Rio de Janeiro;16,7
SP;35;São Paulo;17,1
PR;41;Paraná;15,4
SC;42;Santa Catarina;16,0
RS;43;Rio Grande do Sul;15,4
MS;50;Mato Grosso do Sul;15,3
MT;51;Mato Grosso;14,2
GO;52;Goiás;15,2
DF;53;Distrito Federal;15,1
