Sigla;Código;Estado;mulheres_2026
AC;12;Acre;46,8
AL;27;Alagoas;49,3
AM;13;Amazonas;53,2
AP;16;Amapá;48,9
BA;29;Bahia;55,3
CE;23;Ceará;47,3
DF;53;Distrito Federal;52,1
ES;32;Espírito Santo;52,5
GO;52;Goiás;52,5
MA;21;Maranhão;50,9
MG;31;Minas Gerais;51,4
MS;50;Mato Grosso do Sul;54,7
MT;51;Mato Grosso;57,2
PA;15;Pará;51,7
PB;25;Paraíba;51,1
PE;26;Pernambuco;51,3
PI;22;Piauí;44,9
PR;41;Paraná;53,7
RJ;33;Rio de Janeiro;54,6
RN;24;Rio Grande do Norte;51,8
RO;11;Rondônia;67,0
RR;14;Roraima;56,6
RS;43;Rio Grande do Sul;52,6
SC;42;Santa Catarina;55,4
SE;28;Sergipe;59,7
SP;35;São Paulo;53,8
TO;17;Tocantins;53,8
